,rank,actor,actor_score
0,1, Robert De Niro,100
1,2, Jack Nicholson,100
2,3, Tom Hanks,100
3,4, Marlon Brando,100
4,5, Leonardo DiCaprio,100
5,6, Humphrey Bogart,100
6,7, Johnny Depp,100
7,8, Al Pacino,100
8,9, Denzel Washington,100
9,10, Laurence Olivier,99
10,11, Brad Pitt,99
11,12, Daniel Day-Lewis,99
12,13, Tom Cruise,99
13,14, Cary Grant,99
14,15, Dustin Hoffman,99
15,16, Clark Gable,99
16,17, Sean Penn,99
17,18, Christian Bale,99
18,19, Gregory Peck,99
19,20, Harrison Ford,98
20,21, Spencer Tracy,98
21,22, George Clooney,98
22,23, Charlton Heston,98
23,24, Anthony Hopkins,98
24,25, Russell Crowe,98
25,26, Katharine Hepburn,98
26,27, Meryl Streep,98
27,28, Ingrid Bergman,98
28,29, Marilyn Monroe,98
29,30, Jennifer Lawrence,97
30,31, Kate Winslet,97
31,32, Elizabeth Taylor,97
32,33, Cate Blanchett,97
33,34, Audrey Hepburn,97
34,35, Helen Mirren,97
35,36, Bette Davis,97
36,37, Nicole Kidman,97
37,38, Sandra Bullock,97
38,39, Natalie Portman,97
39,40, Jodie Foster,96
40,41, Judi Dench,96
41,42, Amy Adams,96
42,43, Julia Roberts,96
43,44, Emma Thompson,96
44,45, Diane Keaton,96
45,46, Grace Kelly,96
46,47, Shirley MacLaine,96
47,48, Reese Witherspoon,96
48,49, Charlize Theron,96
49,50, Judy Garland,95
50,51, John Wayne,95
51,52, Sidney Poitier,95
52,53, Paul Newman,95
53,54, Matt Damon,95
54,55, Robert Duvall,95
55,56, James Dean,95
56,57, Kirk Douglas,95
57,58, Henry Fonda,95
58,59, Robin Williams,95
59,60, Orson Welles,94
60,61, Christoph Waltz,94
61,62, Heath Ledger,94
62,63, Sean Connery,94
63,64, Kevin Spacey,94
64,65, Gene Hackman,94
65,66, Liam Neeson,94
66,67, Edward Norton,94
67,68, Bruce Willis,94
68,69, Gary Cooper,94
69,70, Philip Seymour Hoffman,93
70,71, Robert Redford,93
71,72, Ralph Fiennes,93
