,name,meter_score,audience_score,rating,genre,cast,director,time,studio,runtime,box_office,movie_synopsis,actor_score
0,Toy Story 3,98,89,G,"'Animation', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy'","'Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty', 'Don Rickles', 'Michael Keaton', 'Wallace Shawn', 'John Ratzenberger', 'Estelle Harris', 'John Morris', 'Jodi Benson', 'Laurie Metcalf', 'Blake Clark', 'Teddy Newton', 'Bud Luckey', 'Beatrice Miller', 'Javier Fernández-Peña', 'Timothy Dalton', 'Lori Alan', 'Charlie Bright', 'Kristen Schaal', 'Jeff Garlin', 'Bonnie Hunt', 'John Cygan', 'Jeff Pidgeon', 'Whoopi Goldberg', 'Jack Angel', 'R. Lee Ermey', 'Jan Rabson', 'Richard Kind', 'Erik von Detten', 'Amber Kroner', 'Brianna Maiwand', 'Jack Willis'",'Lee Unkrich',2010-06-18,'Walt Disney Pictures',103,414984497.0,"""Toy Story 3"" welcomes Woody, Buzz and the whole gang back to the big screen as Andy prepares to depart for college and his loyal toys find themselves in... daycare! These untamed tots with their sticky little fingers do not play nice, so it's all for one and one for all as plans for the great escape get underway. A few new faces-some plastic, some plush-join the adventure, including iconic swinging bachelor and Barbie's counterpart Ken, a thespian hedgehog named Mr. Pricklepants and a pink, strawberry-scented teddy bear called Lots-o'-Huggin' Bear.",233
1,True Grit,96,85,PG-13,"'Action & Adventure', 'Drama', 'Western'","'Hailee Steinfeld', 'Jeff Bridges', 'Matt Damon', 'Josh Brolin', 'Barry Pepper', 'Dakin Matthews', 'Elizabeth Marvel', 'Jarlath Conroy', 'Domhnall Gleeson', 'Paul Rae', 'Leon Russom', 'Jarleth Conroy', 'Roy Lee Jones', 'Bruce Green', 'Ed Lee Corbin', 'Candyce Hinkle', 'Peter Leung', 'Don Pirl', 'Joe Stevens', 'David Lipman', 'Jake Walker', 'Orlando Storm Smart', 'Ty Mitchell', 'Nicholas Sadler', 'Scott Sowers', 'Jonathan Joss', 'Maggie Goodman', 'Brandon Sanderson', 'Ruben Nakai Campana'","'Joel Coen', 'Ethan Coen'",2010-12-22,'Paramount Pictures',110,171031347.0,"Fourteen-year-old Mattie Ross (Hailee Steinfeld) joins an aging U.S. marshal (Jeff Bridges) and another lawman (Matt Damon) in tracking her father's killer into hostile Indian territory in Joel and Ethan Coen's adaptation of Charles Portis' original novel. Sticking more closely to the source material than the 1969 feature adaptation starring Western icon John Wayne, the Coens' True Grit tells the story from the young girl's perspective, and re-teams the celebrated filmmaking duo with their No Country for Old Men producing partner Scott Rudin. Josh Brolin and Barry Pepper co-star. ~ Jason Buchanan, Rovi",273
2,How to Train Your Dragon,98,91,PG,"'Animation', 'Kids & Family', 'Science Fiction & Fantasy'","'Jay Baruchel', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill', 'Christopher Mintz-Plasse', 'Kristen Wiig', 'T.J. Miller'","'Dean DeBlois', ' Chris Sanders'",2010-03-26,"'Paramount', 'DWA'",98,216900000.0,"The son of a Viking chief must capture a dragon in order to mark his passage into manhood and prove his worthiness to the tribe in directors Chris Sanders and Dean DeBlois' adaptation of Cressida Cowell's popular children's book. Gerard Butler, America Ferrera, Jonah Hill, Jay Baruchel, and Christopher Mintz-Plasse provide voices for the DreamWorks Animation production. ~ Jason Buchanan, Rovi",191
3,The King's Speech,95,92,PG-13,'Drama',"'Colin Firth', 'Helena Bonham Carter', 'Geoffrey Rush', 'Derek Jacobi', 'Guy Pearce', 'Timothy Spall', 'Jennifer Ehle', 'Anthony Andrews', 'Claire Bloom', 'Eve Best', 'Michael Gambon', 'Robert Portal', 'Richard M. Dixon', 'Paul Trussell', 'Adrian Scarborough', 'Andrew Havill', 'Charles Armstrong', 'Roger Hammond', 'Calum Gittins', 'Dominic Applewhite', 'Ben Wimsett', 'Freya Wilson', 'Ramona Marquez', 'David Bamber', 'Jake Hathaway', 'Patrick Ryecart', 'Teresa Gallagher', 'Simon Chandler', 'Orlando Wells', 'Tim Downie', 'Dick Ward', 'John Albasiny', 'Danny Emes', 'John Warnaby', 'Roger Parrott', 'Terry Davies'",'Tom Hooper',2010-11-26,'The Weinstein Company',118,138300000.0,"After the death of his father King George V (Michael Gambon) and the scandalous abdication of King Edward VIII (Guy Pearce), Bertie (Colin Firth) who has suffered from a debilitating speech impediment all his life, is suddenly crowned King George VI of England. With his country on the brink of war and in desperate need of a leader, his wife, Elizabeth (Helena Bonham Carter), the future Queen Mother, arranges for her husband to see an eccentric speech therapist, Lionel Logue (Geoffrey Rush). After a rough start, the two delve into an unorthodox course of treatment and eventually form an unbreakable bond. With the support of Logue, his family, his government and Winston Churchill (Timothy Spall), the King will overcome his stammer and deliver a radio-address that inspires his people and unites them in battle. Based on the true story of King George VI, THE KING'S SPEECH follows the Royal Monarch's quest to find his voice. -- (C) Weinstein",281
4,Inside Job,98,91,PG-13,"'Documentary', 'Special Interest'","'Matt Damon', 'William Ackman', 'Daniel Alpert', 'Jonathan Alpert', 'Sigridur Benediktsdottir', 'Willem Buiter', 'John Campbell', 'Patrick Daniel', 'Satyajit Das', 'Kristin Davis', 'Martin Feldstein', 'Jerome Fons', 'Robert Gnaizda', 'Barney Frank', 'Michael Greenberger', 'Eric Halperin', 'Samuel Hayes', 'Glenn Hubbard', 'Simon Johnson', 'Christine Lagarde', 'Jeffrey Lane', 'Andrew Lo', 'Lee Hsien Loong', 'Andri Snær Magnason', 'David McCormick', 'Lawrence McDonald', 'Harvey Miller', 'Frederic Mishkin', 'Charles Morris', 'Frank Partnoy', 'Raghuram Rajan', 'Kenneth Rogoff', 'Nouriel Roubini', 'Andrew Sheng', 'Allan Sloan', 'George Soros', 'Eliot Spitzer', 'Dominique Strauss-Kahn', 'Scott Talbot', 'Scott Talbott', 'Gillian Tett', 'Paul Volcker', 'Martin Wolf', 'Gylfi Zoega'",'Charles Ferguson (III)',2010-10-08,'Sony Pictures Classics',108,4311834.0,"From Academy Award (R) nominated filmmaker, Charles Ferguson, comes ""Inside Job,"" the first film to expose the shocking truth behind the economic crisis of 2008. The global financial meltdown, at a cost of over $20 trillion, resulted in millions of people losing their homes and jobs. Through extensive research and interviews with major financial insiders, politicians and journalists, ""Inside Job"" traces the rise of a rogue industry and unveils the corrosive relationships which have corrupted politics, regulation and academia.",95
5,Restrepo,97,88,R,"'Documentary', 'Special Interest'","'Dan Kearney', 'Lamonta Caldwell', 'Kevin Rice', 'Misha C. Pemble-Belkin', 'Kyle M. Steiner', 'Aron J. Hijar', 'Joshua. A. McDonough', ""Brendan C. O'Byrne"", 'Miguel Cortez', 'Sterling J. Jones'","'Sebastian Junger', ' Tim Hetherington'",2010-12-07,'National Geographic',93,1330894.0,"It is fairly extraordinary that this film exists. The level of access attained by Tim Hetherington and Sebastian Junger over their 15-month period embedded with the Second Platoon, Battle Company, 173rd Airborne Brigade allows for an incredibly unvarnished account -- including footage of deaths both civilian and military. It's perhaps the most intimate and unflinching examination yet of the processes of modern warfare -- and an exhilarating, heartrending, profoundly moving film in its own right.",0
6,127 Hours,93,85,R,'Drama',"'James Franco', 'Amber Tamblyn', 'Kate Mara', 'Kate Burton', 'Lizzy Caplan', 'Clémence Poésy', 'Treat Williams', 'Peter Joshua', 'Pieter Jan Brugge', 'Sean Bolt', 'Koleman Stinger', 'John Lawrence', 'Bailee Michelle Johnson', 'Rebecca Olson', 'Parker Hadley', 'Fenton Quinn Jr.', 'Jeffrey Wood', 'Norman Lehnert', 'Darin Southam'",'Danny Boyle',2010-11-05,'Fox Searchlight',94,18329466.0,"""127 Hours"" is the true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolate canyon in Utah. Over the next five days, Ralston examines his life and survives the elements to finally discover he has the courage and the wherewithal to extricate himself by any means necessary, scale a 65 foot wall and hike over eight miles before he is finally rescued. Throughout his journey, Ralston recalls friends, lovers, family, and the last two people he ever had the chance to meet? A visceral thrilling story that will take an audience on a never before experienced journey and prove what we can do when we choose life.",101
7,Animal Kingdom,95,83,R,"'Art House & International', 'Drama'","'Ben Mendelsohn', 'Joel Edgerton', 'Guy Pearce', 'Luke Ford', 'Jacki Weaver', 'Sullivan Stapleton', 'James Frecheville', 'Dan Wylie', 'Dan Wyllie', 'Anthony Hayes', 'Laura Wheelwright', 'Mirrah Foulkes', 'Justin Rosniak', 'Susan Prior', 'Clayton Jacobson', 'Anna Lise Phillips', 'Tim Phillipps', 'Josh Helman', 'Kieran Darcy-Smith', 'Jack Heanly', 'Andy McPhee', 'Christina Azucena', 'Jacquie Brennan', 'Ben Ouwehand', 'Anthony Ahern', 'Bryce Lindemann', 'Paul Smits', 'Michael Vice', 'Chris Weir', 'Sarah Nguyen', 'Lucia Cai', 'Ann Michôd', 'Michael Cody', 'Bert Labonte', 'Paul James Saunders', 'Dom Phelan', 'Brenda Palmer', 'Tom Noble', 'Daniel Roche', 'David Michôd'",'David Michôd',2010-08-13,'Sony Pictures Classics',112,1000000.0,"Welcome to the Melbourne underworld. It's the Wild West, played out on the city's streets. Armed robber Pope Cody is on the run from a gang of renegade detectives who want him dead. His business partner and best friend, Barry ""Baz"" Brown. wants out of the game. Pope's younger brotherCraig Cody is making a fortune in the illicit substances trade, whilst the youngest Cody brother, Darren, naively navigates his way through this criminal world -- the only world his family has ever known. And into this world arrives their nephew, Joshua ""J"" Cody, who comes to believe that he is a player in this world. But, as he soon discovers, this world is far larger and more menacing than he could ever imagine.",82
8,The Town,93,85,R,"'Action & Adventure', 'Drama', 'Mystery & Suspense', 'Romance'","'Ben Affleck', 'Rebecca Hall', 'Jon Hamm', 'Jeremy Renner', 'Blake Lively', 'Slaine Jenkins', 'Owen Burke', 'Titus Welliver', 'Pete Postlethwaite', 'Chris Cooper', 'Dennis McLaughlin', 'Corena Chase', 'Brian Scannell', 'Kerri Dunbar', 'Tony V.', 'Isaac Bordoy', 'Michael Yebba', 'Daniel Woods', 'Jimmy Joe Maher', 'Mark Berglund', 'Ralph Boutwell', 'Michael Romig', 'Michael Malvesti', 'Jack Neary', ""Edward O'Keefe"", 'Joe Lawler', 'Ben Hanson', 'Brian A. White', 'Richard Caines', 'Frank Garvin', 'Danny Ring', 'Gary Galone', 'David Catanzaro', 'Jeremiah Kissel', 'Malik McMullen', 'Charles C. Winchester III', 'Adam J. Husband', 'Danny DeMiller', 'Susan Rawlinson', 'Sean Locke', 'Peter Looney', 'Lennin Pena', 'James McKittrick', 'Ted Arcidi', 'Bryan Connolly', 'Quan Liang Chen', 'Alex Winston', 'Michael F. Murphy', 'Michele Cressinger', 'Kimberly Mahoney', 'Bobby Curcuro', 'Ginaya Greene', 'Nicole Page', 'Georgia Lyman', 'Robert Boyden', 'Jamie Ghazarian', 'Graham King'",'Ben Affleck',2010-09-17,'Warner Bros. Pictures',151,92173235.0,"Boston bank robber Doug MacRay (Ben Affleck) falls for a woman his gang had previously taken hostage after feigning a chance meeting with her to ensure that she can't identify them in Affleck's adaptation of author Chuck Hogan's novel Prince of Thieves. The son of a tough Charlestown, MA thief, Doug passed on his chance to walk the straight and narrow in favor of becoming a career bank robber. Not only is Doug's crew one of the most ruthless in Boston, but they're also one of the best; they never leave a trace of evidence, and always make a clean break. Over the years, Doug's fearless partners in crime have become something of a surrogate family to him; Jem (Jeremy Renner), the most dangerous of the bunch, is the closest thing Doug has ever had to a brother. But a divide begins to open between the two career criminals when Jem takes bank manager Claire Keesey (Rebecca Hall) hostage during a particularly tense heist, and the group subsequently discovers that she hails from their own tight-knit suburb. When Jem proposes that the gang make an effort to find out just how much Claire recalls about the crime, Doug fears that his volatile partner may do more harm than good and volunteers himself for the job. Later, Doug turns on the charm while pretending to bump into Claire by chance, and becomes convinced that she doesn't suspect him of being the same man who just robbed her bank. As the feds turn up the heat on the gang, Doug finds himself falling for Claire, and searching desperately for a means of cutting his ties to his criminal past. But with each passing day, Jem grows increasingly suspicious of Doug's true motivations. Now caught between two worlds with no chance of turning back, Doug realizes that his only hope for finding a happy future is to betray the only family he's ever known. ~ Jason Buchanan, Rovi",288
9,Marwencol,98,87,NR,"'Documentary', 'Science Fiction & Fantasy'",'Mar,'Jeff Malmberg',2010-10-08,'The Cinema Guild',83,112036.0,"On April 8, 2000, Mark Hogancamp was brutally attacked by five men in his hometown of Kingston, New York. The assault left the ex-navyman, carpenter, and showroom designer in a coma for nine days; he emerged with brain damage that initially made it impossible for him to walk, eat, or speak. Physical and occupational therapy helped him regain basic motor skills, but after less than a year he discovered that without insurance, he could no longer afford it. Determined ""not to let those five guys win,"" Hogancamp turned to art as a therapeutic tool. He revisited his childhood hobbies of collecting toy soldiers and building and painting models. Commandeering a pile of scrap wood left behind by a contractor, he constructed ""Marwencol,"" a fictional Belgian town built to one-sixth scale in his backyard. He populated it with military figurines and Barbie dolls representing World War II personages like Patton and Hitler as well as stand-ins for himself, his friends, and his family. Finally, he dusted off an old camera and used it to capture staged events ranging from pitched battles between occupying German and American forces to catfights in the town bar.-- (C) Cinema Guild",0
